age_personne,revenu_annuel,anciennete_emploi,montant_pret,taux_interet,statut_defaut,pret_pourcentage_revenu,anciennete_credit,revenu_annuel_log,montant_pret_log,note_pret_encodee,historique_defaut_encode,logement_OTHER,logement_OWN,logement_RENT,motif_EDUCATION,motif_HOMEIMPROVEMENT,motif_MEDICAL,motif_PERSONAL,motif_VENTURE
22.0,59000,2.639545020205914,35000,1.5559684835629368,1,3.929864646504393,-0.6926137554668351,0.14234776219857156,2.1386062155997307,1.5244835517227195,1,0,0,1,0,0,0,1,0
21.0,9600,0.08530661278486722,1000,0.0372950354682297,0,-0.6577067905411286,-0.9389818135065024,-3.2938937964250266,-2.8594453418201247,-0.18890868226395535,0,0,1,0,1,0,0,0,0
25.0,9600,-0.9901621903397838,5500,0.5756772209608203,1,3.7426168327474323,-0.6926137554668351,-3.2938937964250266,-0.4634328646485578,0.6677874347293821,0,0,0,0,0,0,1,0,0
23.0,65500,-0.18356058799629554,35000,1.310117658973835,1,3.368121205233513,-0.9389818135065024,0.3401379500818566,2.1386062155997307,0.6677874347293821,0,0,0,1,0,0,1,0,0
24.0,54400,0.8919082151283555,35000,1.011362226561761,1,3.5553690189904734,-0.44624569742716774,-0.01127237579930093,2.1386062155997307,0.6677874347293821,1,0,0,1,0,0,1,0,0
21.0,9900,-0.721294989558621,2500,-1.207519266248744,1,0.7466518126360718,-0.9389818135065024,-3.23566349628365,-1.5718297017264649,-1.0456047992572928,0,0,1,0,0,0,0,0,1
26.0,77100,0.8919082151283555,35000,0.435635612017661,1,2.619129950205673,-0.6926137554668351,0.648716485231756,2.1386062155997307,-0.18890868226395535,0,0,0,1,1,0,0,0,0
24.0,78956,0.08530661278486722,35000,0.027958928205352052,1,2.5255060433271925,-0.44624569742716774,0.6937343692647298,2.1386062155997307,-0.18890868226395535,0,0,0,1,0,0,1,0,0
24.0,83000,0.8919082151283555,35000,-0.6598009734932755,1,2.3382582295702323,-0.9389818135065024,0.7882648113256999,2.1386062155997307,-1.0456047992572928,0,0,0,1,0,0,0,1,0
21.0,10000,0.35417381356603,1600,1.1576279070135056,1,-0.09596334927024842,-0.6926137554668351,-3.2166448501169898,-2.199068140383781,1.5244835517227195,0,0,1,0,0,0,0,0,1
22.0,85000,0.35417381356603,35000,-0.20233171761228808,1,2.244634322691752,-0.44624569742716774,0.8333266311542906,2.1386062155997307,-0.18890868226395535,0,0,0,1,0,0,0,0,1
21.0,10000,-0.721294989558621,4500,-0.743825938859171,1,2.619129950205673,-0.9389818135065024,-3.2166448501169898,-0.7455527815860027,-1.0456047992572928,0,0,1,0,0,1,0,0,0
23.0,95000,-0.721294989558621,35000,-0.9710045489225188,1,1.8701386951778323,-0.9389818135065024,1.0438220889904546,2.1386062155997307,-1.0456047992572928,0,0,0,1,0,0,0,0,1
26.0,108160,-0.18356058799629554,35000,2.293520957330244,1,1.4020191607854322,-0.44624569742716774,1.2893464581171048,2.1386062155997307,2.381179668716057,0,0,0,1,1,0,0,0,0
23.0,115000,-0.721294989558621,35000,-0.9710045489225188,0,1.214771347028472,-0.44624569742716774,1.4053963062720551,2.1386062155997307,-1.0456047992572928,0,0,0,1,1,0,0,0,0
23.0,140232,0.6230410143471927,30000,-0.1151947164920996,0,-1.0322024180550489,-0.6926137554668351,1.780806986604271,1.9218511507236298,-0.18890868226395535,0,0,0,0,0,0,0,0,0
23.0,120000,-1.2590293911209467,35000,-0.9710045489225188,0,1.121147440149992,-0.44624569742716774,1.4859409486316317,2.1386062155997307,-1.0456047992572928,0,0,0,1,1,0,0,0,0
23.0,92111,0.6230410143471927,35000,2.872359607628636,1,1.4020191607854322,-0.44624569742716774,0.9853766318906289,2.1386062155997307,3.2378757857093943,0,0,0,1,0,0,1,0,0
23.0,113000,0.8919082151283555,35000,2.2499524567701497,1,1.308395253906952,-0.44624569742716774,1.372193473038181,2.1386062155997307,1.5244835517227195,0,0,0,1,0,0,0,0,0
24.0,10800,0.8919082151283555,1750,-0.009385500846156906,1,-0.09596334927024842,-0.9389818135065024,-3.0710078227230326,-2.073133671425413,-0.18890868226395535,0,0,0,0,1,0,0,0,0
25.0,140232,-0.721294989558621,35000,-1.0985980148485086,0,0.46578009200063175,-0.44624569742716774,1.780806986604271,2.1386062155997307,-1.0456047992572928,0,0,0,1,0,0,0,0,1
25.0,137000,1.1607754159095183,34800,1.7893711651348694,0,0.7466518126360718,-0.9389818135065024,1.7366786860222694,2.1305481548159086,2.381179668716057,1,0,0,1,0,0,0,1,0
